;$FILEVERSION=1.1
;$STARTTIME=45937.0536003472
;
;   Start time: 07/10/2025 01:17:11.070.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   186)       268.4  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   187)       269.1  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   188)       270.1  Rx     1816F401  8  94 08 90 08 91 08 8B 08 
   189)       270.1  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   190)       271.1  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   191)       271.2  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   192)       272.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   193)       272.2  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   194)       273.1  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   195)       273.2  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   196)       273.9  Rx     18130181  8  0C EC 0C E3 34 33 06 32 
   197)       274.1  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   198)       275.1  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   199)       275.1  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   200)       276.1  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   201)       276.1  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   202)       276.1  Rx     18130281  6  30 18 08 0D 0C 01 
   203)       277.2  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   204)       277.2  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   205)       278.2  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   206)       279.0  Rx     18130381  8  03 35 03 27 00 09 00 0E 
   207)       279.3  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   208)       311.0  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   209)       312.0  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   210)       312.9  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   211)       313.0  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
   212)       313.9  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   213)       313.9  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   214)       314.9  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   215)       314.9  Rx     1807F401  8  00 01 60 A8 02 A0 82 00 
   216)       315.9  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   217)       316.0  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   218)       316.8  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   219)       317.9  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   220)       318.0  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   221)       318.5  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   222)       319.1  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   223)       320.5  Rx     1816F401  8  95 08 90 08 91 08 8B 08 
   224)       320.6  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   225)       320.7  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   226)       321.8  Rx     1819F401  8  92 08 91 08 93 08 93 08 
   227)       323.1  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   228)       323.1  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   229)       323.2  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   230)       323.5  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   231)       324.2  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   232)       325.2  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   233)       325.2  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   234)       326.1  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   235)       326.4  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   236)       327.2  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   237)       327.2  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   238)       328.3  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   239)       328.3  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   240)       362.2  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   241)       362.3  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   242)       362.3  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   243)       362.7  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
   244)       363.6  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   245)       363.7  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   246)       364.7  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   247)       365.9  Rx     1807F401  8  00 01 60 A8 02 A0 82 00 
   248)       365.9  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   249)       366.1  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   250)       367.1  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   251)       367.7  Rx     1812F401  8  93 08 98 08 86 08 90 08 
   252)       368.4  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   253)       368.6  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   254)       369.3  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   255)       369.3  Rx     1816F401  8  95 08 90 08 91 08 8B 08 
   256)       370.5  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   257)       370.5  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   258)       371.3  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   259)       372.3  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   260)       372.3  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   261)       373.3  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   262)       373.3  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   263)       374.3  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   264)       374.5  Rx     18130181  8  0C EC 0C E3 34 33 06 32 
   265)       375.3  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   266)       375.4  Rx     1827F401  8  00 00 00 00 00 00 00 00 
   267)       376.1  Rx     18130281  6  30 18 08 0D 0C 01 
   268)       376.3  Rx     1828F401  8  00 00 00 00 00 00 00 00 
   269)       376.4  Rx     1829F401  8  00 00 00 00 00 00 00 00 
   270)       377.8  Rx     182AF401  8  00 00 00 00 00 00 00 00 
   271)       377.9  Rx     182BF401  8  00 00 00 00 00 00 00 00 
   272)       378.0  Rx     182CF401  8  00 00 00 00 00 00 00 00 
   273)       378.5  Rx     18130381  8  03 35 03 27 00 09 00 0E 
   274)       378.9  Rx     18A1F401  8  07 01 00 00 2C 21 01 B8 
   275)       380.2  Rx     18150181  8  00 00 00 00 00 00 00 00 
   276)       382.0  Rx     18150281  8  00 00 00 00 00 00 00 00 
   277)       384.4  Rx     18130481  8  00 00 00 00 00 00 00 00 
   278)       386.0  Rx     18410181  8  00 00 00 00 00 00 00 00 
   279)       387.9  Rx     18110181  8  0C E7 0C EA 0C EA 0C EA 
   280)       389.9  Rx     18110281  8  0C E7 0C EA 0C E8 0C EC 
   281)       391.9  Rx     18110381  8  0C EC 0C EB 0C E9 0C E6 
   282)       394.0  Rx     18110481  8  0C E3 0C E9 0C EB 0C E9 
   283)       396.0  Rx     18110581  8  0C EA 0C E9 0C E8 0C EA 
   284)       398.0  Rx     18110681  8  0C E9 0C E9 0C E9 0C E9 
   285)       400.0  Rx     18110781  8  0C EA 0C EA 0C EA 0C EA 
   286)       402.0  Rx     18110881  8  0C EA 0C EA 0C EA 0C EB 
   287)       404.0  Rx     18110981  8  0C EA 0C EA 0C EA 0C E7 
   288)       405.9  Rx     18110A81  8  0C E4 0C E9 0C E8 0C EA 
   289)       407.9  Rx     18110B81  8  0C E7 0C E7 0C E8 0C EA 
   290)       410.0  Rx     18110C81  8  0C E7 0C E7 0C E7 0C E7 
   291)       411.3  Rx     180101F4  8  0B 6E 01 5A 08 5A 00 00 
   292)       412.1  Rx     1801F401  8  0C 98 08 06 85 08 0B 00 
   293)       412.4  Rx     1802F401  8  8E 08 0B 6E 00 00 00 00 
   294)       413.1  Rx     1803F401  8  0C 95 08 07 8B 08 0C 00 
   295)       414.8  Rx     1804F401  8  91 08 01 5A 00 00 00 00 
   296)       415.1  Rx     1805F401  8  0C 93 08 0B 8D 08 01 00 
   297)       415.2  Rx     1806F401  8  90 08 08 5A 00 00 00 00 
   298)       415.5  Rx     1807F401  8  00 01 60 A8 02 A0 80 00 
   299)       415.7  Rx     1808F401  8  03 09 B2 02 07 A2 02 05 
   300)       416.1  Rx     1809F401  8  00 00 00 00 00 00 00 00 
   301)       417.1  Rx     1811F401  8  8B 08 8C 08 92 08 8A 08 
   302)       417.3  Rx     1812F401  8  92 08 98 08 86 08 90 08 
   303)       418.1  Rx     1813F401  8  8F 08 8B 08 85 08 96 08 
   304)       418.3  Rx     1814F401  8  94 08 91 08 91 08 94 08 
   305)       419.3  Rx     1815F401  8  94 08 92 08 95 08 8F 08 
   306)       419.4  Rx     1816F401  8  95 08 90 08 91 08 8B 08 
   307)       420.3  Rx     1817F401  8  8D 08 91 08 8D 08 91 08 
   308)       420.6  Rx     1818F401  8  90 08 92 08 8F 08 92 08 
   309)       421.3  Rx     1819F401  8  92 08 90 08 93 08 93 08 
   310)       422.4  Rx     1821F401  8  A9 02 A8 02 A8 02 B1 02 
   311)       422.5  Rx     1822F401  8  A2 02 A3 02 B2 02 A3 02 
   312)       423.8  Rx     1823F401  8  A7 02 00 00 00 00 00 00 
   313)       423.8  Rx     1824F401  8  00 00 00 00 00 00 00 00 
   314)       424.0  Rx     1825F401  8  00 00 00 00 00 00 00 00 
   315)       424.8  Rx     1826F401  8  00 00 00 00 00 00 00 00 
   316)       426.1  Rx     1827F401  8  00 00 00 00 00 00 00 00 
